filename	event_labels
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_4_Segment_01_28.npy	EATO
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_4_Segment_17_4.npy	EATO,BCCH,BLJA
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_4_Segment_22_25.npy	EATO,NOCA,BGGN
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_33_24.npy	EATO,BTNW
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_12_29.npy	EATO,BTNW,OVEN
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_4_Segment_20_6.npy	EATO,COYE
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_10_18.npy	WOTH,OVEN
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_25_21.npy	EATO,BTNW,AMCR
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_2_Segment_10_23.npy	EATO,WOTH,REVI,AMCR,SCTA
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_12_5.npy	EATO,WOTH,TUTI
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_4_Segment_05_26.npy	EATO,NOCA
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_30_9.npy	EATO,BTNW,AMCR
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_03_23.npy	EATO,BHVI
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_2_Segment_11_20.npy	EATO,WOTH
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_16_17.npy	EATO,BCCH,BTNW
/home/fumchin/data/bsed_20/dataset/ENA/train_unlabeled_preprocess_quarter_02_015/wav/Recording_1_Segment_06_15.npy	EATO,WOTH,BCCH
