filename	onset	offset	event_label
00.wav	3.279	4.463	AMRE
00.wav	6.549	7.476	BCCH
00.wav	6.550	8.213	AMCR
00.wav	4.888	6.272	EATO
01.wav	0.348	5.400	AMCR
02.wav	0.946	1.583	RBWO
02.wav	9.560	10.000	REVI
02.wav	5.783	7.868	SCTA
02.wav	7.412	8.869	BCCH
02.wav	2.588	3.585	EATO
02.wav	1.795	3.320	AMCR
02.wav	2.550	4.797	TUTI
03.wav	1.073	4.806	AMCR
03.wav	5.181	5.592	REVI
03.wav	8.343	9.269	BCCH
03.wav	4.026	5.785	OVEN
03.wav	3.552	4.646	BGGN
04.wav	0.212	5.042	AMCR
04.wav	1.850	2.100	REVI
04.wav	4.402	5.048	TUTI
04.wav	5.884	6.925	BCCH
04.wav	0.193	1.512	BTNW
05.wav	0.783	3.018	AMCR
05.wav	2.604	3.878	EATO
05.wav	3.561	5.096	BTNW
05.wav	6.713	7.255	EATO
05.wav	4.430	5.372	EATO
05.wav	6.919	8.620	AMCR
05.wav	8.561	9.993	EATO
06.wav	8.221	9.289	COYE
06.wav	2.774	3.605	AMRE
06.wav	5.622	7.817	COYE
06.wav	9.664	10.000	AMCR
06.wav	5.086	6.127	BCCH
06.wav	4.600	6.358	OVEN
06.wav	3.106	4.189	BCCH
07.wav	0.895	4.954	AMCR
07.wav	2.741	4.369	EATO
08.wav	0.093	0.561	TUTI
08.wav	1.413	2.591	TUTI
08.wav	3.243	5.001	OVEN
08.wav	6.553	6.945	WOTH
08.wav	5.034	6.105	TUTI
08.wav	3.797	4.443	TUTI
08.wav	3.381	10.000	AMCR
09.wav	2.527	3.070	EATO
09.wav	5.836	6.845	AMRE
09.wav	7.952	8.520	REVI
09.wav	9.230	10.000	AMCR
09.wav	5.763	6.945	KEWA
09.wav	5.362	6.449	BCCH
10.wav	4.565	5.174	EATO
10.wav	5.361	7.322	EATO
10.wav	6.685	8.667	AMCR
10.wav	9.291	10.000	SCTA
10.wav	7.625	8.132	WOTH
10.wav	6.488	8.006	KEWA
10.wav	1.628	1.960	EATO
100.wav	3.792	4.042	REVI
100.wav	1.043	2.227	AMRE
100.wav	0.024	0.531	WOTH
100.wav	0.084	1.083	BCCH
100.wav	2.371	2.623	REVI
100.wav	4.406	5.030	BCCH
100.wav	6.148	7.906	OVEN
100.wav	7.079	8.078	BCCH
100.wav	2.339	3.630	TUTI
100.wav	9.676	10.000	AMRE
1000.wav	4.233	4.552	RBWO
1000.wav	0.599	1.570	WOTH
1000.wav	3.921	4.359	WOTH
1000.wav	3.455	3.892	REVI
1000.wav	8.957	9.414	BTNW
1000.wav	8.974	9.971	EATO
1000.wav	9.455	9.953	BLJA
1000.wav	9.530	10.000	TUTI
1000.wav	9.642	10.000	COYE
1000.wav	1.258	2.328	TUTI
1001.wav	2.739	3.349	EATO
1001.wav	7.936	9.471	BTNW
1002.wav	4.573	6.500	COYE
1002.wav	3.773	5.220	EATO
1002.wav	0.443	1.384	EATO
1003.wav	6.240	7.012	COYE
1003.wav	2.802	3.205	BLJA
1003.wav	8.802	10.000	EATO
1003.wav	6.679	7.715	BHVI
1003.wav	5.849	6.412	BGGN
1003.wav	5.290	6.704	AMCR
1003.wav	5.172	6.243	TUTI
1003.wav	4.203	5.446	COYE
1004.wav	2.717	4.195	AMCR
1004.wav	2.678	4.271	BGGN
1004.wav	1.370	2.643	EATO
1005.wav	3.825	5.044	EATO
1006.wav	6.823	7.864	EATO
1006.wav	3.211	4.296	EATO
1007.wav	2.467	4.101	EATO
1007.wav	4.892	5.584	BTNW
1007.wav	3.255	3.876	COYE
1007.wav	7.485	7.928	REVI
1007.wav	0.017	0.789	COYE
1007.wav	8.674	9.006	EATO
1007.wav	1.032	1.818	RBWO
1007.wav	6.087	7.501	AMCR
1008.wav	0.882	1.215	EATO
1008.wav	0.835	1.800	BCCH
1008.wav	2.645	2.977	BLJA
1008.wav	0.960	3.218	COYE
1009.wav	2.587	4.050	EATO
1009.wav	8.690	9.197	WOTH
1009.wav	4.946	7.513	EATO
1009.wav	3.458	5.696	OVEN
1009.wav	1.334	1.877	EATO
101.wav	6.860	9.186	AMRE
101.wav	5.383	7.005	AMCR
101.wav	9.464	10.000	BTNW
1010.wav	2.226	2.479	REVI
1010.wav	4.697	4.969	EATO
1010.wav	8.015	10.000	OVEN
1011.wav	0.128	0.919	BCCH
1011.wav	9.682	10.000	BLJA
1011.wav	7.623	8.247	BCCH
1011.wav	7.126	7.678	BGGN
1011.wav	4.389	4.722	EATO
